Tournament,Stage,Match Type,Match Name,Team,Action,Map
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Global Esports vs T1,T1,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Global Esports vs T1,Global Esports,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Global Esports vs T1,T1,ban,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,BLEED,ban,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,Gen.G,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,BLEED,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,Gen.G,pick,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,BLEED,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,BLEED vs Gen.G,Gen.G,ban,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,Paper Rex,ban,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,DetonatioN FocusMe,pick,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,Paper Rex,pick,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,Paper Rex vs DetonatioN FocusMe,Paper Rex,ban,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,DRX,ban,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,Talon Esports,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,DRX,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,Talon Esports,pick,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,DRX,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 3,DRX vs Talon Esports,Talon Esports,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Paper Rex,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Rex Regum Qeon,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Paper Rex,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Rex Regum Qeon,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Paper Rex,ban,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs Rex Regum Qeon,Rex Regum Qeon,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Global Esports,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Gen.G,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Global Esports,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Gen.G,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Global Esports,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Global Esports,Gen.G,ban,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,DRX,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,DRX,pick,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,DetonatioN FocusMe,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,DRX,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,DRX vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,ZETA DIVISION,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,Talon Esports,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,ZETA DIVISION,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,Talon Esports,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,ZETA DIVISION,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,ZETA DIVISION vs Talon Esports,Talon Esports,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Team Secret,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Gen.G,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Team Secret,pick,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Gen.G,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Team Secret,ban,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Gen.G,ban,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,ZETA DIVISION,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Paper Rex,ban,Haven
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,ZETA DIVISION,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Paper Rex,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,ZETA DIVISION,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Paper Rex,ban,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,BLEED,ban,Split
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,T1,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,BLEED,pick,Bind
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,T1,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,BLEED,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,T1,ban,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Rex Regum Qeon,ban,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Gen.G,ban,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Rex Regum Qeon,pick,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Gen.G,pick,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Rex Regum Qeon,ban,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Gen.G,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Talon Esports,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Team Secret,ban,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Talon Esports,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Team Secret,pick,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Talon Esports,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Team Secret,ban,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Gen.G,ban,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Paper Rex,ban,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Gen.G,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Paper Rex,pick,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Gen.G,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Paper Rex,ban,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Talon Esports,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,DRX,ban,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Talon Esports,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,DRX,pick,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Talon Esports,ban,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,DRX,ban,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Gen.G,ban,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,DRX,ban,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Gen.G,pick,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,DRX,pick,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Gen.G,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,DRX,ban,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Talon Esports,ban,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Paper Rex,ban,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Talon Esports,pick,Ascent
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Paper Rex,pick,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Talon Esports,ban,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Paper Rex,ban,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,DRX,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Paper Rex,ban,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,DRX,pick,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Paper Rex,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,DRX,pick,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Paper Rex,pick,Icebox
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Gen.G,ban,Sunset
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Gen.G,ban,Abyss
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Gen.G,pick,Haven
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,DRX,pick,Bind
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Gen.G,pick,Lotus
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,DRX,pick,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,KOI,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,FUT Esports,ban,Breeze
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,KOI,pick,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,FUT Esports,pick,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,KOI,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,FUT Esports,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,BBL Esports,ban,Breeze
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,FNATIC,ban,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,BBL Esports,pick,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,FNATIC,pick,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,BBL Esports,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,FNATIC,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Team Heretics,ban,Breeze
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Natus Vincere,ban,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Team Heretics,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Natus Vincere,pick,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Team Heretics,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Natus Vincere,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Gentle Mates,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,GIANTX,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Gentle Mates,pick,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,GIANTX,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Gentle Mates,ban,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,GIANTX,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Team Liquid,ban,Breeze
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Team Vitality,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Team Liquid,pick,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Team Vitality,pick,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Team Liquid,ban,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Team Vitality,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Karmine Corp,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,BBL Esports,ban,Breeze
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Karmine Corp,pick,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,BBL Esports,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Karmine Corp,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,BBL Esports,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Natus Vincere,ban,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,FUT Esports,ban,Breeze
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Natus Vincere,pick,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,FUT Esports,pick,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Natus Vincere,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,FUT Esports,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,GIANTX,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,KOI,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,GIANTX,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,KOI,pick,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,GIANTX,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,KOI,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Team Heretics,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,FUT Esports,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Team Heretics,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,FUT Esports,pick,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Team Heretics,ban,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,FUT Esports,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,FNATIC,ban,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Team Vitality,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,FNATIC,pick,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Team Vitality,pick,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,FNATIC,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Team Vitality,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Team Liquid,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,BBL Esports,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Team Liquid,pick,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,BBL Esports,pick,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Team Liquid,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,BBL Esports,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,GIANTX,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Natus Vincere,ban,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,GIANTX,pick,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Natus Vincere,pick,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,GIANTX,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Natus Vincere,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,KOI,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Gentle Mates,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,KOI,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Gentle Mates,pick,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,KOI,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Gentle Mates,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,FNATIC,ban,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Karmine Corp,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,FNATIC,pick,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Karmine Corp,pick,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,FNATIC,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Karmine Corp,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Team Heretics,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,GIANTX,ban,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Team Heretics,pick,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,GIANTX,pick,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Team Heretics,ban,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,GIANTX,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,FUT Esports,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Gentle Mates,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,FUT Esports,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Gentle Mates,pick,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,FUT Esports,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Gentle Mates,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Natus Vincere,ban,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,KOI,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Natus Vincere,pick,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,KOI,pick,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Natus Vincere,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,KOI,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Karmine Corp,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Team Liquid,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Karmine Corp,pick,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Team Liquid,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Karmine Corp,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Team Liquid,ban,Lotus
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,BBL Esports,ban,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Team Vitality,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,BBL Esports,pick,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Team Vitality,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,BBL Esports,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Team Vitality,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Team Heretics,ban,Split
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Gentle Mates,ban,Bind
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Team Heretics,pick,Sunset
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Gentle Mates,pick,Icebox
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Team Heretics,ban,Ascent
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Gentle Mates,ban,Haven
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FUT Esports vs GIANTX,GIANTX,ban,Ascent
